medicine_id,medicine_name,manufacturer,quantity_available,expiry_date,category,form
5000,Paracetamol,Zydus,97,2026-03-31,Non-Generic,Ointment
5001,Levothyroxine,Alkem,57,2026-02-02,Non-Generic,Ointment
5002,Hydroxychloroquine,Zydus,37,2026-02-04,Non-Generic,Injection
5003,Omeprazole,Alkem,58,2025-10-30,Generic,Injection
5004,Paracetamol,Mankind,63,2026-02-12,Non-Generic,Tablet
5005,Aspirin,Mankind,8,2026-02-24,Generic,Syrup
5006,Amoxicillin,Mankind,43,2025-10-04,Non-Generic,Ointment
5007,Levothyroxine,Lupin,75,2025-12-15,Non-Generic,Syrup
5008,Omeprazole,Zydus,9,2025-09-25,Generic,Tablet
5009,Amoxicillin,Sun Pharma,26,2025-09-21,Generic,Ointment
5010,Hydroxychloroquine,Glenmark,11,2026-05-31,Generic,Capsule
5011,Azithromycin,Lupin,38,2025-10-19,Non-Generic,Capsule
5012,Levothyroxine,Cipla,46,2025-11-30,Non-Generic,Injection
5013,Amoxicillin,Mankind,71,2025-12-15,Generic,Ointment
5014,Paracetamol,Alkem,38,2026-03-07,Non-Generic,Ointment
5015,Levothyroxine,Glenmark,67,2026-01-28,Generic,Injection
5016,Hydroxychloroquine,Mankind,70,2025-11-13,Generic,Injection
5017,Aspirin,Biocon,84,2026-03-06,Generic,Capsule
5018,Aspirin,Torrent Pharma,5,2026-03-19,Non-Generic,Ointment
5019,Ibuprofen,Alkem,75,2025-10-27,Generic,Syrup
5020,Ibuprofen,Cipla,46,2026-05-13,Non-Generic,Tablet
5021,Hydroxychloroquine,Cipla,100,2025-11-30,Non-Generic,Syrup
5022,Amoxicillin,Zydus,34,2026-06-11,Generic,Capsule
5023,Azithromycin,Sun Pharma,56,2026-01-24,Non-Generic,Injection
5024,Amoxicillin,Biocon,49,2025-08-22,Non-Generic,Injection
5025,Paracetamol,Cipla,4,2026-04-21,Non-Generic,Syrup
5026,Metformin,Torrent Pharma,95,2025-08-23,Generic,Capsule
5027,Omeprazole,Sun Pharma,0,2026-03-24,Generic,Ointment
5028,Amoxicillin,Mankind,30,2025-12-15,Generic,Syrup
5029,Hydroxychloroquine,Torrent Pharma,37,2025-12-07,Non-Generic,Injection
5030,Paracetamol,Lupin,86,2026-01-04,Non-Generic,Tablet
5031,Paracetamol,Zydus,14,2026-02-04,Generic,Tablet
5032,Paracetamol,Biocon,79,2025-08-31,Generic,Capsule
5033,Omeprazole,Torrent Pharma,21,2026-02-12,Non-Generic,Capsule
5034,Hydroxychloroquine,Mankind,88,2026-02-25,Non-Generic,Injection
5035,Ibuprofen,Lupin,48,2026-01-01,Generic,Injection
5036,Aspirin,Lupin,67,2026-01-05,Non-Generic,Ointment
5037,Levothyroxine,Torrent Pharma,73,2026-04-13,Generic,Tablet
5038,Paracetamol,Torrent Pharma,46,2026-03-27,Non-Generic,Ointment
5039,Paracetamol,Sun Pharma,99,2026-01-17,Generic,Syrup
5040,Ciprofloxacin,Mankind,37,2025-10-31,Non-Generic,Capsule
5041,Aspirin,Biocon,73,2025-12-28,Non-Generic,Syrup
5042,Levothyroxine,Dr. Reddy's,40,2026-03-20,Non-Generic,Injection
5043,Azithromycin,Dr. Reddy's,73,2026-02-02,Generic,Injection
5044,Ciprofloxacin,Cipla,20,2025-09-20,Non-Generic,Capsule
5045,Metformin,Sun Pharma,91,2025-10-31,Non-Generic,Capsule
5046,Ciprofloxacin,Zydus,83,2025-09-13,Non-Generic,Syrup
5047,Omeprazole,Glenmark,85,2026-04-10,Generic,Tablet
5048,Levothyroxine,Biocon,85,2025-10-25,Non-Generic,Injection
5049,Omeprazole,Lupin,1,2025-08-14,Non-Generic,Syrup
5050,Aspirin,Alkem,28,2025-09-14,Generic,Syrup
5051,Paracetamol,Alkem,12,2026-04-22,Non-Generic,Syrup
5052,Aspirin,Alkem,94,2026-05-24,Generic,Syrup
5053,Azithromycin,Torrent Pharma,66,2026-02-20,Non-Generic,Injection
5054,Ibuprofen,Alkem,57,2025-07-27,Generic,Tablet
5055,Hydroxychloroquine,Dr. Reddy's,63,2026-01-12,Generic,Ointment
5056,Omeprazole,Zydus,18,2026-03-21,Non-Generic,Ointment
5057,Ibuprofen,Sun Pharma,34,2026-04-12,Non-Generic,Capsule
